iter	MAE	RMSE
0	1278.245871	1630.519489
1	1210.232449	1548.145446
2	1151.338727	1478.340603
3	1099.783262	1417.958691
4	1052.799352	1363.962495
5	1014.955518	1322.082111
6	981.0471376	1285.091829
7	950.2076088	1252.291377
8	925.1365257	1226.241836
9	902.7894353	1203.565086
10	883.040881	1183.63901
11	866.1933531	1167.322283
12	851.2969144	1152.965706
13	839.3285423	1141.965714
14	826.9391676	1130.575507
15	817.7839924	1122.2505
16	809.870265	1116.171345
17	801.5782151	1109.365698
18	794.5448602	1104.079773
19	788.0832367	1098.626664
20	783.8903639	1095.743939
21	779.287618	1091.898973
22	774.9958499	1088.616084
23	772.8496457	1087.078381
24	770.0553423	1084.792347
25	767.0988724	1082.647229
26	764.6238885	1080.756213
27	761.9789572	1078.251434
28	760.3115276	1076.857209
29	758.6581324	1076.051531
30	757.0915042	1075.122709
31	756.1463122	1074.622941
32	754.9989087	1073.580159
33	753.6126524	1071.656107
34	753.3156885	1071.53047
35	752.4139029	1070.790995
36	751.0044513	1068.929567
37	749.8426224	1068.094039
38	748.8085236	1066.676523
39	748.5067554	1066.246285
40	747.7534631	1065.072335
41	747.6234795	1065.014202
42	747.6281881	1065.014189
43	747.0210143	1064.400232
44	747.0246726	1064.400223
45	745.9756014	1063.2806
46	745.2698877	1062.71898
47	744.5294515	1062.213239
48	743.9801704	1061.905376
49	742.9812277	1060.195373
50	742.0801896	1058.716949
51	741.6597815	1058.201251
52	740.8238934	1056.748336
53	739.9667643	1055.314731
54	739.6756913	1054.847497
55	739.6338005	1054.825217
56	739.0306132	1054.31912
57	738.9869147	1054.200042
58	738.818962	1054.02836
59	737.8444769	1052.804784
60	736.8790055	1051.622023
61	736.8660372	1051.612166
62	736.6983723	1051.305026
63	735.8268305	1050.147129
64	735.7173975	1049.932976
65	735.6975387	1049.887802
66	735.114889	1049.234246
67	734.4700726	1048.511136
68	733.6670761	1047.467373
69	733.1828075	1046.813477
70	732.8144881	1046.531205
71	732.1210809	1045.808094
72	731.4403589	1044.855753
73	731.3698943	1044.725035
74	730.7881893	1043.913875
75	730.5540892	1043.585215
76	729.1712731	1041.364444
77	728.8199746	1040.818694
78	728.5189422	1040.31114
79	728.2150089	1039.712625
80	727.5622365	1038.681805
81	727.1599058	1038.224741
82	726.5221847	1037.414141
83	725.6862293	1036.209349
84	725.2734846	1035.390955
85	725.1291558	1035.287369
86	724.5562157	1034.431757
87	724.2061089	1034.156959
88	723.5573971	1033.040064
89	723.0180535	1031.853084
90	722.4367669	1030.698645
91	721.6302587	1029.314283
92	721.1774151	1028.665435
93	720.0642044	1026.829335
94	719.3517834	1025.693504
95	718.7713715	1024.720846
96	718.0711287	1023.761638
97	717.4254765	1022.753545
98	716.7987188	1021.846552
99	716.4166045	1021.295649
100	716.1274467	1020.885009
101	715.5406075	1020.079769
102	715.5052558	1020.048059
103	715.0099719	1019.131304
104	714.4792302	1018.430832
105	713.5299205	1016.838745
106	712.8647729	1015.583327
107	712.6820283	1015.392062
108	712.0977866	1014.366015
109	711.7549138	1013.918125
