iter	Passed	Remaining
0	174	52264
1	208	31090
2	244	24242
3	275	20371
4	317	18761
5	357	17493
6	381	15972
7	415	15181
8	439	14203
9	459	13319
10	502	13197
11	537	12907
12	581	12847
13	623	12739
14	663	12599
15	697	12382
16	717	11944
17	752	11785
18	790	11686
19	838	11737
20	880	11704
21	919	11619
22	956	11513
23	987	11352
24	1025	11276
25	1064	11213
26	1102	11143
27	1149	11166
28	1194	11162
29	1214	10929
30	1248	10829
31	1270	10637
32	1307	10582
33	1348	10551
34	1361	10304
35	1395	10233
36	1430	10170
37	1469	10130
38	1523	10194
39	1560	10143
40	1599	10102
41	1618	9941
42	1623	9703
43	1657	9640
44	1662	9422
45	1698	9380
46	1733	9333
47	1773	9309
48	1811	9281
49	1847	9236
50	1882	9189
51	1916	9141
52	1954	9110
53	1990	9067
54	2028	9037
55	2043	8903
56	2077	8857
57	2108	8797
58	2143	8754
59	2189	8756
60	2225	8717
61	2244	8614
62	2275	8561
63	2309	8517
64	2341	8466
65	2356	8354
66	2389	8310
67	2423	8270
68	2458	8231
69	2491	8187
70	2519	8126
71	2552	8082
72	2585	8041
73	2617	7995
74	2652	7957
75	2687	7921
76	2724	7890
77	2756	7845
78	2790	7806
79	2826	7773
80	2867	7752
81	2910	7738
82	2954	7724
83	3031	7795
84	3077	7784
85	3118	7759
86	3166	7751
87	3207	7726
88	3253	7714
89	3289	7674
90	3326	7639
91	3361	7600
92	3400	7568
93	3438	7534
94	3473	7495
95	3506	7451
96	3542	7413
97	3580	7381
98	3616	7343
99	3652	7305
100	3687	7264
101	3722	7226
102	3751	7175
103	3787	7138
104	3821	7096
105	3857	7060
106	3893	7023
107	3928	6984
108	3965	6948
109	4007	6922
110	4044	6886
111	4083	6853
112	4126	6828
113	4168	6801
114	4210	6772
115	4246	6736
116	4281	6696
117	4319	6662
118	4356	6626
119	4392	6588
120	4429	6552
121	4467	6517
122	4503	6480
123	4526	6424
124	4561	6386
125	4598	6349
126	4626	6302
127	4661	6263
128	4696	6225
129	4729	6185
130	4763	6144
131	4798	6107
132	4833	6068
133	4867	6030
134	4901	5990
135	4936	5952
136	4969	5912
137	5006	5877
138	5043	5841
139	5080	5805
140	5124	5778
141	5168	5750
142	5205	5715
143	5242	5679
144	5278	5642
145	5314	5605
146	5347	5565
147	5383	5528
148	5418	5491
149	5454	5454
150	5492	5419
151	5529	5384
152	5569	5351
153	5602	5311
154	5638	5275
155	5676	5239
156	5716	5206
157	5750	5168
158	5784	5129
159	5822	5094
160	5856	5056
161	5891	5018
162	5927	4982
163	5962	4944
164	5997	4906
165	6033	4870
166	6067	4832
167	6116	4805
168	6162	4776
169	6202	4743
170	6238	4706
171	6275	4669
172	6309	4632
173	6350	4598
174	6388	4562
175	6426	4527
176	6460	4489
177	6498	4453
178	6536	4418
179	6573	4382
180	6613	4348
181	6649	4310
182	6687	4275
183	6721	4237
184	6758	4201
185	6796	4165
186	6833	4129
187	6883	4100
188	6918	4063
189	6952	4024
190	6985	3986
191	7022	3950
192	7059	3913
193	7100	3879
194	7146	3848
195	7183	3811
196	7219	3774
197	7254	3737
198	7288	3699
199	7321	3660
200	7356	3623
201	7390	3585
202	7427	3548
203	7460	3510
204	7499	3475
205	7534	3438
206	7570	3401
207	7606	3364
208	7639	3326
209	7674	3289
210	7708	3251
211	7744	3214
212	7780	3177
213	7815	3140
214	7853	3104
215	7889	3068
216	7923	3030
217	7959	2993
218	7994	2956
219	8030	2920
220	8062	2882
221	8112	2850
222	8153	2815
223	8189	2778
224	8227	2742
225	8263	2705
226	8295	2667
227	8331	2631
228	8364	2593
229	8395	2555
230	8438	2520
231	8473	2483
232	8510	2447
233	8546	2410
234	8589	2375
235	8627	2339
236	8666	2303
237	8703	2267
238	8738	2230
239	8776	2194
240	8815	2158
241	8857	2122
242	8896	2086
243	8935	2050
244	8972	2014
245	9008	1977
246	9044	1940
247	9080	1903
248	9124	1868
249	9168	1833
250	9204	1796
251	9240	1760
252	9283	1724
253	9321	1688
254	9365	1652
255	9405	1616
256	9443	1580
257	9480	1543
258	9516	1506
259	9550	1469
260	9587	1432
261	9627	1396
262	9666	1359
263	9702	1323
264	9736	1285
265	9774	1249
266	9814	1213
267	9852	1176
268	9890	1139
269	9925	1102
270	9963	1066
271	10000	1029
272	10034	992
273	10078	956
274	10116	919
275	10156	883
276	10196	846
277	10233	809
278	10269	772
279	10310	736
280	10347	699
281	10380	662
282	10419	625
283	10456	589
284	10493	552
285	10529	515
286	10564	478
287	10598	441
288	10635	404
289	10668	367
290	10703	331
291	10739	294
292	10774	257
293	10807	220
294	10842	183
295	10876	146
296	10915	110
297	10956	73
298	10989	36
299	11026	0
